TweetID	Emotion
549283862572843008	anxiety
549284051434369024	neutral
549283925278085120	sadness
549283854897664001	enthusiasm
549283942021746690	joy
549283874900287489	sadness
549283954587881472	neutral
549284026255945728	sadness
549283997122310144	calm
549284018114420736	enthusiasm
549283879342059520	neutral
549283963181625344	enthusiasm
549283971532472321	enthusiasm
549283891853672448	enthusiasm
549284055095971840	interestingness
549283851663446016	neutral
549283954722099200	enthusiasm
549284018018324480	enthusiasm
549283853794156545	disgust
549283938049724417	anger
549283921171853312	sadness
549284064415739904	calm
549283875130998784	sadness
549284042840215552	enthusiasm
549283946710593536	joy
549284030336991232	joy
549284068043812865	joy
549283862963298306	enthusiasm
549283858479583234	calm
549283934358749185	enthusiasm
549284055871918080	joy
549284009260232704	joy
549283874778644481	neutral
549283954985930752	surprise
549284039224733697	joy
549283908874162178	neutral
549283946375036928	rejection
549284055725117440	anger
549283874900287489	joy
549283996740616193	joy
549283921062805507	sadness
549284047281586177	neutral
549283938225516544	joy
549283912812613634	interestingness
549283904449175552	joy
549283934295846914	enthusiasm
549284059679948800	anxiety
549284043133812736	joy
549284051774095361	calm
549283913517260801	neutral
549283871003783170	enthusiasm
549284000993247232	interestingness
549283963718868992	anger
549284026323070976	neutral
549284017800245249	interestingness
549283950506811393	rejection
549283984711376898	interestingness
549283942277210112	interestingness
549284026025271299	rejection
549284050587111427	enthusiasm
549283895846260736	interestingness
549283992344592384	enthusiasm
549283954734665729	surprise
549283896635170817	joy
549284030232133634	joy
549283996728066048	joy
549283896622600195	joy
549283879719157761	anger
549283871502905344	calm
549284064231190529	fear
549284025924612096	enthusiasm
549283913202679808	disgust
549284022002536448	joy
549284051392405504	enthusiasm
549283851768709120	interestingness
549283955107966976	surprise
549284055511224320	anger
549283929975689216	enthusiasm
549283979917291520	rejection
549283921653809152	anger
549283996899627010	enthusiasm
549283921058222080	enthusiasm
549284064155283457	enthusiasm
549284013496893441	sadness
549284043133812736	enthusiasm
549283934174195712	enthusiasm
549284047311360000	enthusiasm
549283925214765056	neutral
549284001098510336	enthusiasm
549283929698873344	surprise
549283938183966722	anger
549284051526635521	sadness
549284055754506240	neutral
549283916595466241	interestingness
549283966461554689	neutral
549283945502633984	neutral
549283950708137984	enthusiasm
549284059797807104	anger
549283879614697472	joy
549283955233812480	joy
549283867124068352	anxiety
549283967317200897	neutral
549283866637512704	neutral
549283992302673920	anger
549284026024857600	calm
549283896626405377	interestingness
549283950984966144	joy
549283853345378304	joy
549283858064355328	joy
549283942013345792	joy
549284001098510336	enthusiasm
549284038767558656	sadness
549284022019706882	anger
549284067976687616	joy
549283888204611584	enthusiasm
549283996916801536	sadness
549283896312221697	enthusiasm
549284001291448320	neutral
549283870869164033	calm
549283967380500480	joy
549283875428782080	joy
549283891929186304	sadness
549283984157712385	anger
549283908664430592	interestingness
549283904893382656	anger
549283908563791873	neutral
549284021792817152	anger
549283954722086912	anger
549283908987396097	joy
549284060103987200	sadness
549283992537927680	neutral
549284034094718976	joy
549284039103102978	neutral
549283901081133057	enthusiasm
549283933821870080	neutral
549284000636735490	anger
549283988154507264	neutral
549283883691540481	neutral
549283858311430144	joy
549283942181138432	anxiety
549284051270795266	enthusiasm
549283904403021824	interestingness
549283933964492800	joy
549284018026319872	neutral
549283921381187584	anger
549283937831243777	neutral
549283963051978752	anger
549284022065455104	joy
549283853308022784	neutral
549284034661347329	neutral
549283980260806656	sadness
549283975580360705	neutral
549284059957166081	calm
549284013610110977	sadness
549283984220254208	neutral
549283997130706945	joy
549283946404798464	joy
549283875130970112	anxiety
549284046891941888	sadness
549284034757812224	neutral
549284035168862208	neutral
549283988591104000	neutral
549284022111993856	neutral
549283899956682752	neutral
549284013840797696	interestingness
